"id","mode","Q1","Q2","Q3","Q4","A1","A2_1","A2_2","A2_3","A2_4","A2_5","A2_6","A2_7","A2_8","A2_9","A2_10","A2_11","A2_12","A2_13","A3","A4","A5","A6","A7","A8","B1_1","B1_2","B1_3","B1_4","B1_5","B1_6","B1_7","B1_8","B1_9","B1_10","B1_11","B1_12","B1_13","B1_14","B1_15","B1_16","B1_17","B1_18","B1_19","B1_20","B1_21","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B3_5","B4_1","B4_2","B4_3","B4_4","B4_5","B5_1","B5_2","B6_1","B6_2","B6_3","B6_4","B8_1","B8_2","B8_3","B8_4","B8_5","B8_6","B8_7","B8_8","B8_9","B8_10","B8_11","B8_12","B8_13","B8_14","B8_15","C1_1","C1_2","C1_3","C1_4","C1_5","C1_6","C1_7","C1_8","C2","C3","C4","C5","C6","C7_1","C7_2","C7_3","C7_4","C7_5","C7_6","C7_7","C7_8","C7_9","C7_10","C7_11","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","C8_7","C8_8","C8_9","C8_10","C9_1","C9_2","C9_3","C9_4","C10","C11_1","C11_2","C11_3","C11_4","C11_5","C11_6","C11_7","D1_1","D1_2","D1_3","D1_4","D1_5","D1_6","D1_7","D1_8","D1_9","D1_10","D2_1","D2_2","D2_3","D2_4","D2_5","D2_6","D2_7","D2_8","D2_9","D2_10","D2_11","D3","D4_1","D4_2","D4_3","D4_4","D4_5","D4_6","D4_7","D4_8","D4_9","D4_10","D4_11","D4_12","D5_1","D5_2","D5_3","D5_4","D5_5","D5_6","D5_7","D6_1","D6_2","D6_3","D6_4","D6_5","D6_6","D6_7","D6_8","D6_9","D6_10","D6_11","D7_1","D7_2","D7_3","D7_4","D7_5","D7_6","D7_7","D7_8","D7_9","D8_1","D8_2","D8_3","D8_4","D8_5","D8_6","D8_7","D8_8","E1","E2","E3","E4","E5"
336,2,9,8,2,,2,1,1,1,1,1,4,2,5,6,9,1,7,5,6,8,7,7,8,9,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,4,1,3,8,1,7,9,1,1,5,3,3,5,2,5,2,5,6,7,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,0,0,1,0,1,0,0,0,6,1,4,4,5,0,0,0,0,1,1,0,0,1,0,0,7,5,5,5,7,7,5,5,7,4,3,8,5,5,2,11,-99,-99,11,11,11,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,5,6,5,5,5,4,5,4,6,1,1,2,2,4,3,4,3,1,3,1,3,4
337,2,8,10,2,,3,8,9,7,8,9,8,9,8,8,8,9,8,8,8,10,9,10,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,7,9,8,7,8,8,8,9,9,9,7,9,9,8,9,10,10,9,9,10,2,1,3,2,1,1,3,3,2,3,2,2,2,2,1,0,0,0,0,1,0,1,0,8,9,8,9,9,1,0,0,1,0,0,0,1,0,0,0,8,9,9,9,8,8,9,9,10,10,10,9,8,9,2,9,9,10,9,9,10,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,8,9,8,9,8,9,4,3,4,4,4,4,3,3,11,4,1,4,4
338,2,8,10,2,,1,9,10,10,10,10,9,9,10,10,10,10,10,9,10,10,10,9,9,10,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,9,10,10,10,9,10,9,10,9,10,10,10,9,10,10,10,9,10,10,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,10,10,10,9,8,1,0,0,0,0,1,1,0,0,0,0,10,9,10,10,9,10,10,9,10,9,10,10,10,10,2,10,10,10,10,10,10,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,10,10,9,9,10,10,9,10,10,3,3,3,3,3,3,2,3,5,3,2,4,4
339,2,8,7,1,1,1,7,6,6,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,6,6,6,7,8,11,7,7,7,8,8,8,8,8,8,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,1,0,0,7,7,7,7,8,1,0,0,0,0,1,1,0,0,0,0,8,8,8,8,7,8,8,8,7,8,7,7,8,8,1,8,8,8,8,8,8,9,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,6,2,2,2,3,4,3,4,3,11,4,2,3,4
340,2,8,5,2,,3,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,4,5,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,4,4,5,4,3,4,4,4,11,2,4,11,4,3,3,11,11,5,5,3,4,4,4,4,4,3,3,3,4,4,3,4,4,3,0,0,0,1,1,0,0,0,4,4,11,11,11,0,0,0,0,0,1,0,1,1,0,0,4,4,4,11,4,4,4,4,11,4,11,11,5,4,2,4,4,11,11,11,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,3,3,3,3,4,1,2,1,4,4,4,4,4,8,3,1,3,4
341,2,8,10,2,,3,10,9,9,9,9,9,8,9,10,9,9,8,9,8,9,9,9,9,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,10,9,10,9,10,9,10,9,10,9,9,8,10,9,10,9,9,9,9,10,2,2,3,3,4,3,2,3,2,4,3,4,4,3,2,0,0,1,1,0,0,0,0,9,9,8,9,10,1,0,0,0,1,1,0,0,0,0,0,10,10,9,10,9,8,10,9,9,9,9,9,10,10,2,7,8,6,8,7,8,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,9,10,9,8,8,9,3,3,4,4,4,4,3,3,11,3,2,2,4
342,2,10,7,1,1,3,5,5,3,6,8,9,6,5,6,6,5,5,7,9,7,7,8,5,5,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6,7,8,7,9,9,8,8,7,8,9,7,8,9,5,8,9,6,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,0,0,1,1,0,0,0,0,8,9,10,9,7,0,0,0,1,0,1,1,0,0,0,0,5,5,8,5,7,7,8,8,8,9,9,8,7,8,1,9,8,9,10,9,7,9,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,1,1,1,1,1,1,0,9,7,9,8,7,8,9,8,9,2,3,3,2,2,2,3,3,7,4,1,3,4
343,2,10,7,2,,2,6,7,5,6,6,10,6,7,5,6,6,5,7,7,5,6,6,7,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,6,9,6,6,7,8,6,8,6,5,5,7,4,7,7,8,8,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,9,8,9,7,6,0,1,0,0,0,1,0,1,0,0,0,8,7,8,5,9,8,6,9,7,7,7,8,6,8,2,8,6,7,8,7,9,8,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,7,7,7,9,7,7,8,6,8,3,3,3,3,2,3,2,2,7,3,2,3,4
344,2,8,8,1,2,1,8,7,6,7,7,8,8,7,7,8,7,7,6,8,8,7,8,8,8,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,7,6,6,7,7,5,6,7,7,6,6,6,6,6,7,8,8,7,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,1,0,0,0,1,0,0,0,8,8,7,7,8,0,0,0,1,0,0,1,0,1,0,0,7,7,6,8,8,8,7,7,9,8,8,8,8,8,1,8,8,8,8,8,8,8,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,7,7,7,8,7,7,8,8,8,2,2,2,2,2,2,2,2,11,3,1,3,4
345,2,10,10,2,,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,10,10,10,10,10,0,0,1,0,0,1,0,0,0,1,0,10,10,10,10,9,10,10,9,10,10,10,10,10,10,2,10,9,9,10,9,10,10,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,10,10,10,10,9,10,10,10,10,3,3,3,3,3,3,3,3,19,4,2,3,4
346,2,10,10,2,,1,10,8,6,5,5,8,9,9,8,8,10,9,9,10,9,10,10,10,10,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,10,9,9,10,10,9,10,10,10,10,10,10,9,10,10,10,10,10,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,1,0,10,10,10,10,10,1,0,0,0,0,1,0,0,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,8,10,2,10,10,10,10,10,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,4,3,3,3,3,3,3,3,19,3,1,2,4
347,2,8,8,2,,2,7,6,5,7,6,6,6,6,6,7,7,8,-99,8,8,8,8,7,7,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,7,8,8,6,6,6,7,5,5,6,5,5,8,5,6,7,7,8,7,3,3,3,3,3,3,4,3,3,4,4,3,4,4,3,0,0,0,1,1,0,0,0,7,5,7,7,7,0,0,0,0,0,1,1,1,0,0,0,5,5,5,6,6,6,6,5,6,6,7,7,8,6,2,6,4,5,6,6,7,7,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,6,8,7,7,7,7,3,3,3,3,4,4,4,4,15,4,3,3,4
348,2,10,7,2,,2,1,7,5,5,5,6,7,6,6,6,7,7,7,7,5,6,7,5,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,7,7,5,7,7,6,5,6,6,7,7,6,6,6,4,5,6,6,6,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,1,0,1,0,0,0,0,0,6,6,5,6,7,1,0,0,1,0,0,0,0,0,1,0,6,6,7,6,5,5,5,5,5,5,5,5,5,7,2,7,5,6,5,6,5,5,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,7,5,4,6,5,3,3,3,2,3,2,3,3,19,3,2,5,4
349,2,10,5,1,1,1,8,9,7,9,8,10,10,10,7,7,10,10,9,10,10,9,10,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,1,0,0,0,10,10,10,10,10,1,0,0,0,1,0,0,0,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,9,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,19,4,1,2,4
350,2,10,10,2,,1,9,9,10,10,8,10,9,10,9,10,9,10,9,9,9,9,10,9,9,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,9,10,10,9,9,10,9,9,10,8,9,10,9,9,8,9,9,10,9,9,3,4,4,3,3,3,4,4,3,4,3,4,3,4,3,0,0,1,0,1,0,0,0,10,9,9,9,10,0,0,0,0,0,1,1,0,0,1,0,10,9,9,9,10,8,9,10,9,9,8,9,8,9,3,9,9,8,9,10,9,10,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,10,9,9,10,9,9,2,3,2,4,4,4,-99,3,19,4,1,3,4
351,2,10,8,1,1,3,6,5,5,7,9,8,8,7,9,9,7,8,9,8,9,9,7,8,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,9,7,6,8,8,9,7,8,9,8,8,8,8,9,8,8,8,8,6,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,1,0,0,0,9,7,9,10,9,1,0,0,0,0,0,0,1,0,1,0,9,8,8,9,9,8,7,9,8,9,9,9,9,8,1,7,8,8,9,8,8,9,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,,,,,,,,0,0,0,0,1,1,1,0,1,1,0,7,9,6,8,8,9,9,8,8,2,2,3,3,3,3,3,3,2,3,2,3,4
352,2,10,5,2,,1,5,4,5,4,6,6,5,6,5,7,7,5,6,5,5,5,6,5,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,7,5,4,6,7,5,5,5,7,6,6,6,7,6,5,5,6,7,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,1,0,0,1,0,0,0,0,4,5,5,6,5,0,0,1,0,1,0,0,1,0,0,0,5,6,4,5,4,6,5,5,5,5,6,4,5,5,2,5,5,4,4,5,6,5,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,6,5,4,6,5,5,4,5,3,3,3,2,3,3,3,4,3,19,3,2,3,4
353,2,10,5,2,,2,5,6,8,8,7,6,7,7,5,6,6,6,5,6,5,6,5,4,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,5,4,5,5,6,6,4,6,5,4,5,6,6,5,6,5,6,5,5,3,3,3,3,4,3,3,3,3,2,3,4,3,2,3,0,0,0,1,1,0,0,0,4,5,5,4,4,1,0,0,0,0,0,0,0,1,1,0,5,6,5,5,5,5,6,7,6,5,6,6,5,6,2,5,5,6,5,5,7,6,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,4,6,5,5,6,5,4,3,2,3,2,3,3,3,3,19,3,1,5,4
354,2,10,10,2,,1,9,8,9,10,9,9,10,8,9,10,9,9,9,9,9,10,9,9,10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,9,10,10,9,9,10,10,9,9,9,10,9,10,10,10,9,10,9,10,9,3,2,3,3,3,3,3,2,2,2,2,3,2,3,2,0,1,0,0,1,0,0,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,1,0,10,9,10,9,9,8,8,9,10,8,10,9,9,8,3,9,9,10,9,10,9,10,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,9,10,10,9,10,10,3,3,3,2,3,2,3,3,19,3,2,3,4
355,2,10,9,1,1,2,6,7,8,6,5,7,7,6,6,5,5,8,8,6,8,8,7,9,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,8,6,9,9,7,8,6,8,8,9,7,8,7,9,7,9,7,7,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,9,8,8,9,9,0,1,0,1,0,0,0,0,1,0,0,9,7,7,9,8,7,8,9,8,9,9,10,8,6,1,9,8,8,9,10,8,9,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,1,1,1,0,1,0,0,9,8,9,9,8,7,8,7,7,3,2,3,3,3,2,3,3,18,3,2,4,4
356,2,10,10,2,,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,0,1,0,0,0,0,0,10,10,10,10,10,0,0,0,1,0,0,1,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,-99,-99,10,10,10,3,3,3,3,3,3,3,3,12,4,1,2,4
357,2,10,9,2,,3,10,7,8,9,9,10,10,9,10,10,9,10,10,9,10,9,10,9,9,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,9,10,10,10,9,10,10,9,10,10,10,9,10,10,10,9,10,10,4,3,3,4,3,4,4,2,4,2,3,3,3,4,4,0,0,1,1,0,0,0,0,9,10,10,9,10,0,0,1,1,0,0,0,0,0,1,0,9,10,10,9,10,10,10,9,9,10,9,10,8,10,2,9,10,10,9,10,9,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,10,9,9,9,10,3,4,3,3,3,3,3,3,19,3,2,4,4
358,2,5,9,2,,2,7,7,8,7,7,7,7,7,7,7,6,6,7,10,8,8,8,8,8,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,9,10,10,7,9,9,8,8,8,9,11,9,8,6,8,8,9,8,8,2,3,3,4,4,4,3,3,3,4,4,3,4,4,3,1,0,0,0,0,0,1,0,9,7,8,8,9,0,1,1,0,0,0,0,1,0,0,0,8,7,8,7,9,7,8,8,7,8,8,8,9,9,1,9,8,8,8,8,9,9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,1,0,1,0,1,0,1,1,1,0,10,9,8,7,9,9,9,8,10,3,3,2,1,4,1,4,2,9,3,2,4,4
359,2,10,9,1,1,2,7,7,8,8,6,9,8,9,8,8,9,8,8,8,7,8,7,8,9,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,8,9,5,9,8,9,7,8,9,9,8,8,8,7,10,8,9,8,9,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,1,0,0,0,9,10,7,9,9,0,0,1,0,0,0,0,1,0,1,0,8,9,2,8,9,9,9,6,8,8,9,9,8,7,1,8,9,8,7,8,9,9,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,8,8,8,9,7,8,8,9,9,2,3,3,2,3,3,3,3,15,4,1,5,4
360,2,10,5,2,,2,5,5,6,6,7,5,4,4,5,5,6,5,7,5,5,6,5,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,5,5,6,8,5,5,7,5,5,6,5,5,6,5,5,6,7,5,5,5,4,3,3,3,4,4,3,3,4,3,3,3,3,4,3,0,0,0,1,1,0,0,0,5,4,6,5,5,0,0,0,0,1,0,0,0,1,1,0,5,5,6,4,5,5,5,5,6,7,6,5,5,6,2,6,5,5,4,6,5,6,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,5,5,5,4,6,3,3,2,3,3,3,3,3,19,3,1,3,4
361,2,10,5,2,,1,10,10,10,10,10,6,9,9,9,9,9,9,9,10,10,10,7,9,10,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,8,10,9,9,9,9,10,7,8,10,10,9,9,9,10,10,9,9,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,1,0,0,0,10,10,10,10,10,1,0,0,1,1,0,0,0,0,0,0,9,10,7,10,10,8,8,10,9,8,10,9,8,6,2,10,10,10,10,10,10,10,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,9,6,7,6,8,7,10,3,3,3,3,3,3,3,3,19,4,2,3,4
362,2,10,7,2,,2,4,4,4,5,5,5,5,6,5,6,5,3,7,6,7,5,6,6,7,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7,6,6,7,6,7,6,6,5,6,5,6,5,7,4,6,6,7,8,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,7,11,7,7,7,0,0,0,0,0,1,0,0,1,1,0,7,7,7,7,7,6,6,6,6,6,6,6,7,7,2,-99,-99,-99,-99,-99,-99,7,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,7,6,6,7,6,7,6,6,6,1,1,2,3,4,2,4,3,18,3,1,2,4
363,2,10,8,1,1,1,8,8,6,-99,6,-99,6,-99,7,6,8,6,9,7,6,5,1,7,7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10,7,7,5,4,6,1,8,9,8,7,8,9,6,1,6,7,11,11,3,3,2,4,3,4,3,4,3,4,2,3,4,3,3,1,0,0,0,1,0,0,0,5,7,6,7,6,0,1,0,0,0,0,1,0,0,1,0,7,6,8,6,7,6,9,7,11,7,6,11,6,7,1,8,8,8,8,8,8,8,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,1,0,1,0,1,0,0,6,8,8,8,8,7,7,8,8,2,2,1,1,1,2,3,3,19,4,1,5,4
364,2,3,8,2,,2,7,7,7,8,8,8,7,7,6,7,6,6,6,7,7,8,8,7,7,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,8,8,8,6,8,8,7,6,7,7,5,6,8,6,6,8,8,8,8,3,3,3,4,4,4,4,2,3,4,4,3,4,4,3,0,0,0,1,1,0,0,0,7,4,6,7,10,0,0,0,0,0,1,0,1,0,0,0,7,7,7,7,8,5,5,6,7,7,7,8,8,8,3,11,11,11,8,11,5,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,6,6,6,8,6,8,8,3,2,2,3,4,2,4,4,2,3,1,4,4
365,2,10,8,2,,2,6,6,7,7,8,8,8,8,5,7,5,7,9,8,9,8,7,8,7,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,8,10,9,8,8,9,8,9,8,8,8,9,8,7,9,7,8,8,8,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,1,0,0,0,8,9,7,9,7,1,0,0,1,0,0,0,0,0,1,0,7,8,9,8,8,7,9,8,7,8,9,8,8,8,2,9,8,7,8,7,8,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,8,8,9,9,9,9,8,8,9,3,3,2,2,3,2,3,2,3,3,1,3,4
366,2,8,9,2,,3,10,8,9,10,9,9,10,9,10,10,9,10,10,9,10,10,9,10,10,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,10,9,10,10,9,9,9,10,10,9,9,10,10,9,10,9,10,10,10,9,4,3,4,3,3,3,2,3,3,3,4,4,2,3,3,0,0,0,0,1,1,0,0,10,9,10,10,10,0,1,1,0,0,0,0,0,0,1,0,9,10,9,10,10,10,10,10,9,9,10,10,9,10,3,10,9,10,9,9,10,9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,9,9,9,9,10,3,4,3,3,3,3,2,2,11,3,1,3,4
367,2,10,10,2,,1,10,9,9,9,10,10,9,10,9,9,10,10,10,10,9,10,9,10,10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,9,9,9,10,9,8,6,9,8,9,9,10,10,9,9,10,9,9,8,10,2,2,2,2,2,3,3,3,3,2,3,3,2,3,2,1,0,1,0,0,0,0,0,9,7,6,5,8,1,1,0,0,0,0,1,0,0,0,0,7,9,9,10,9,9,9,8,9,9,9,9,10,10,3,9,8,9,9,8,9,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,6,8,9,7,8,7,10,2,1,3,3,2,3,2,3,19,3,1,3,4
368,2,6,6,2,,2,1,1,2,2,4,4,4,4,4,5,5,5,4,6,7,7,7,7,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,6,6,6,7,5,8,7,6,5,7,7,6,6,8,5,7,8,8,9,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,1,0,6,11,7,7,10,0,0,0,0,1,0,1,1,0,0,0,8,7,5,7,8,6,6,7,8,7,10,10,9,9,2,11,11,11,11,11,11,5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,6,8,7,10,6,8,6,2,2,4,2,4,2,4,4,18,4,2,4,4
